word	x	y	nearest
seeks	-2.2180661900794014	69.10533987185762	0.981
told	-74.07394377413769	-30.344865461336894	0.898
hero	8.590153147432666	-35.22765884771423	0.949
reporter	-26.302147760085568	-64.01725974848905	0.981
humiliating	77.16443905225387	-6.174419152727187	0.942
never	-74.36270976090113	-61.0225664955224	0.806
speakerryan	3.229723742381612	66.80364063853774	0.977
here	27.942699577032464	-50.52472940952511	0.874
met	-13.544654877731258	-58.57168337178841	0.943
protection	-19.490922054126692	-20.63361728429861	0.977
represented	30.864774533007274	36.801436847663176	0.948
spies	8.904958397121671	84.02453936529899	0.980
celebration	14.806587399275328	-53.69544292950124	0.977
luther	-15.79363677315689	-50.037972521985836	0.987
generals	-19.81512651793133	34.96221602631768	0.971
daughter	12.675544959767082	-41.822971136664805	0.955
employees	-25.701124839921587	21.992314158688245	0.977
changed	-25.67163577538575	-47.273978423188325	0.959
reports	-29.90282747569049	-53.12006052899896	0.978
credit	-34.937881367303454	-38.88581871408718	0.938
military	-33.58110676720234	-99.45504491684757	0.948
settled	-41.20036459575311	28.097301713007486	0.965
preventable	76.99113799388948	-21.896651956593793	0.877
fantastic	45.284668929984086	-38.71838232014282	0.883
secure	-20.254171138095444	-23.648645210939858	0.964
campaign	-48.83693107673251	-31.413016059758966	0.848
servicemen	83.83177460818776	-3.780309110372663	0.910
replace	-54.739200313267446	-78.97988030251688	0.980
brought	-17.106551120367953	-72.83249457344233	0.966
patience	-17.74600107743308	52.79285347746132	0.975
total	-35.41403564308758	-69.75719641222902	0.899
unit	-36.68554797779225	16.122451492139735	0.990
devastation	11.062828770822374	82.72533146270995	0.991
criminals	-18.572886345366616	-22.922324109278257	0.984
spoke	-12.173059652403134	-56.24908155532476	0.958
army	12.171784705254845	-52.66264475977942	0.988
hospital	-10.071080068766022	22.084665199126427	0.983
hungry	42.46977922840076	20.945346187374724	0.946
negative	-61.34601786572648	-46.49032480687884	0.954
backing	48.800526259747286	15.571821594451357	0.966
samcgirl	54.313074857645496	15.858401715597813	0.969
call	-94.1953984478614	-37.4198898259718	0.919
therefore	-34.60006716721249	1.7022210871615346	0.981
strike	-0.3146224837290609	39.279863273875065	0.960
type	35.23705183317585	52.29879118828618	0.964
tell	-94.31519741191222	-37.73633980956248	0.915
slaughtered	52.72022910881945	-8.16740828575348	0.935
graydon	-30.885018518227973	-59.83100344422142	0.992
successful	-42.7099649714071	-43.86136623761453	0.890
brings	-0.8757007445497819	-51.841479045108954	0.984
naive	51.85855824702122	-1.364250698495342	0.934
hereby	78.27266163788592	-24.458434212559123	0.860
phony	-33.119085062856634	-65.06090015939003	0.956
award	34.430555239235886	-78.455064547691	0.985
hurt	-37.713280418456826	-30.901027389791977	0.964
grief	35.56518726094215	58.020547823890254	0.983
phone	-29.806083810211753	-14.348712912197957	0.973
warm	-22.549583003019812	59.98530709256595	0.976
greggutfeld	90.96185285078725	-35.925298315182474	0.900
separates	40.06013041152372	43.4627354603676	0.890
robbing	40.2425426766478	81.97328421005085	0.970
hole	18.570988862777448	-53.87669497268962	0.972
hold	-82.90853024124007	-27.843536984654087	0.976
tariff	85.11584206848512	35.3001253283604	0.896
blocking	49.164789870927834	58.77233528719373	0.981
tampa	23.22965807317775	-19.761389722773426	0.994
me	-64.87089550256688	-49.738237154140094	0.826
word	-53.38978858073832	-49.77219240350648	0.943
room	17.33469399763844	-66.18548369846344	0.983
rights	-2.2784667728312167	-71.51467765764717	0.981
setup	87.42291343551078	14.819998877178305	0.970
work	-80.83328449040994	-68.91322186826807	0.854
refusing	82.50346125656132	31.457484618632492	0.951
whack	68.63555798700453	40.81924415655201	0.938
movies	33.09238479447029	42.00939838980978	0.952
era	62.83728306332226	71.8663537053648	0.933
transparency	24.318902873842035	88.20674328110755	0.957
antbaxter	-18.76388796153783	65.82519771395806	0.980
my	34.546700436818945	-22.1934240801666	0.709
example	4.858287691449798	-16.46735992201501	0.971
grimes	63.472576395058624	17.684220625185876	0.970
give	-94.70159012108516	-40.9263792897754	0.901
preserving	23.57306072709937	54.412685117477785	0.968
laughs	33.5209289158841	77.49678038029693	0.979
husband	-10.862118035700124	-53.068019642669135	0.967
currency	-14.427065567031152	-77.99891261359467	0.982
reviewing	82.42308040401566	-12.338463346819479	0.857
want	-90.40080163352714	-54.30144536818664	0.825
briarcliff	9.304527459531437	92.70482592710819	0.986
absolute	-15.333737693813974	-7.504012225971918	0.967
ceremony	24.14247043176909	-25.907124570272664	0.987
end	-89.41654370963569	-37.21624488867299	0.892
recovery	-0.6017944631564464	-18.67021150594167	0.980
thing	-65.92477787389542	-56.336141788321456	0.846
complaining	-57.161839469796426	41.674641670564036	0.952
verify	71.59727772308204	54.52180979165602	0.971
travel	-1.5431511886733538	-77.89006493151297	0.981
nuts	27.082080451350002	35.17026123088169	0.956
machine	-53.23608519173086	43.338811850285275	0.979
far	-51.76558575835146	-68.44448470929811	0.865
amazing	44.83161423651469	-39.30573863980679	0.883
opposite	-38.6332585855596	8.475520106649334	0.960
answer	-100.37568902728385	-28.793516626888643	0.922
disappoint	52.2620018754131	-10.95795244264351	0.916
charging	15.596978981085837	36.55639834570865	0.964
badly	-47.465055983925495	-63.64658847777966	0.938
elizabeth	-23.471135061149806	-57.799393176313785	0.996
mess	-49.995808888684465	-83.92282362638892	0.899
after	-5.24606022412346	-94.15108368255461	0.855
vicious	-34.03637719750874	29.660251952526206	0.972
demanding	7.683964276205934	85.11366644214172	0.973
customs	90.62008627292317	25.7358595016546	0.957
barriers	-25.962061490994103	34.26877132351189	0.975
wrong	-43.396505895553915	-61.88474761940344	0.934
lay	65.99709496529607	8.849673422666099	0.911
mcquaid	-16.305233673236057	11.526478843415857	0.991
president	-92.92654070248216	-16.403371927816032	0.884
law	-49.800277715429786	-94.51199430905514	0.943
purchase	17.242470291859973	-65.31061365087342	0.983
catastrophe	37.07032716094345	90.94791392144244	0.939
attempt	-16.73372983500193	72.87503868495651	0.977
third	10.373967717203662	-49.49822604997862	0.963
scourge	98.90605754871874	14.840216216294628	0.970
wins	-14.174253645163079	-58.34424484182009	0.952
appreciate	9.139923604405096	-38.27597055852967	0.972
greet	63.30195931794287	0.5152186099857918	0.940
ultimate	-0.3482016545265917	-17.77905076967283	0.982
keeps	-19.64296454350219	-66.60226298344482	0.972
operate	64.91636027798752	12.541425781541724	0.942
order	-59.141712480202195	-91.84330718017394	0.895
wind	-19.348968048449755	-97.62387037716117	0.973
wine	18.11317349718442	-22.864285183722124	0.988
executed	45.61366438091566	35.34335264696595	0.968
infested	32.85858802546538	57.497479063453696	0.987
office	18.578745906863457	-73.42796560002924	0.831
enter	-64.3079245428932	-10.848969947135034	0.960
clapper	-49.23267540099191	39.685391675550086	0.984
over	-26.68163496978867	-97.79693712664927	0.850
suspend	-14.998611352541726	62.18574414886562	0.964
mayor	17.596921168695033	-57.61582396321899	0.947
before	-68.51823459722162	-44.20049992360708	0.850
suites	16.165427606250212	-22.126735510009397	0.991
surviving	92.48925132674161	-23.078008485691015	0.771
img	100.71496873917259	-12.968889365299887	0.866
defrauded	53.33087788711089	-8.9644269547686	0.938
personal	8.53870536969718	-31.359276480870086	0.971
screaming	31.93288063021951	39.613099360710066	0.979
fix	-89.78554281111849	-49.108152073931116	0.945
stevens	-45.939512277472446	26.601680956339354	0.987
crew	75.53665077166423	20.420013903168464	0.960
destroyed	-15.45272827405014	-72.75515954826561	0.976
sucks	-41.24891940108728	-7.269316478501662	0.983
production	-26.665659953760887	33.420693792994065	0.985
stalemate	82.64459414179692	-26.913296081136078	0.923
weeks	42.05623830712352	-70.00833082172801	0.964
overcome	75.93139017969739	-34.09307757358017	0.814
then	-88.45457239004887	-44.938465439902956	0.882
them	-82.04207787620211	-59.93752263501496	0.840
iowa	45.87354170487949	-63.71524582154909	0.944
mightily	84.67033077850786	-8.01146533384211	0.914
weakness	-33.35822753358359	-21.635165774049696	0.978
safe	-57.99243284144862	-92.83486270154442	0.924
supporter	-20.659673429085977	63.22003952402475	0.970
break	-45.4004033887587	5.15588630029638	0.973
hispanics	5.799165708757038	-32.45455884518172	0.977
hiring	-41.01647709125813	6.460701905119208	0.990
they	-84.00136227811207	-63.74850901637192	0.843
lifelong	59.785907206551585	49.021243884218165	0.981
silver	50.95962326434132	40.02884976271262	0.961
bank	-0.15581006280198867	-15.531814625020466	0.983
represents	-45.43097357607503	55.56965363066393	0.984
several	95.49243972117038	9.65519158497981	0.941
ranked	-21.322721535603417	91.86642958862944	0.970
classified	-45.12523567177776	-14.429735042331968	0.985
arrested	-36.12605415481872	12.460606431972858	0.984
chuck	-23.35391352274618	-54.000828399577394	0.983
detroit	0.6263296957383947	99.75769488274189	0.975
asia	-25.59433053019834	32.29662578885717	0.979
explode	33.283012772117615	22.96990442116954	0.972
good	-59.23334534482616	-69.98839712236337	0.741
victories	42.454396684221564	49.78076244960286	0.931
victory	15.582309360032385	-71.11827894277005	0.948
addicted	74.94091113046947	34.92406977238069	0.950
went	-68.10481476660397	-36.51587011661757	0.892
side	-15.874931378173232	-15.118799255941324	0.960
luck	-51.994105643635564	-59.64925629264371	0.907
signing	36.77453938059882	-66.3999449820376	0.971
vincemcmahon	-24.837951489875167	77.27153654622639	0.962
suspended	66.89806473414242	43.99832934846478	0.973
venue	-4.561977674690238	11.292181428808371	0.979
principles	46.725570362527485	34.432313243820204	0.978
carolina	32.24965519653397	-71.7611524878301	0.944
celebrating	8.289569827808306	-21.418827089278526	0.978
trading	42.50884504642708	53.200814986592114	0.984
corporations	51.67453742325114	32.47635317580785	0.963
substantially	-0.9544384249650589	63.25412798433789	0.968
dawn	80.26244221111384	22.176380084628544	0.948
truman	54.84399752489189	39.09661068151151	0.984
mandated	49.87415258161744	21.13526223305066	0.903
saturday	42.927246383099046	-60.641689772351306	0.956
trending	23.477673098721475	34.50324209080101	0.958
driving	-18.391642688198058	-14.12988914226512	0.969
god	-94.33958309117483	-22.020321892308033	0.955
ricksantorum	-65.52225064473478	-1.3746733340060353	0.978
rd	39.913456670114634	-59.946632894262265	0.986
re	-94.44995920936874	-7.7462802123170205	0.817
laid	69.477432092501	-7.185943844518803	0.905
banning	95.48833709407559	-1.9966352899599626	0.929
medicine	94.73677767106076	-0.7378596753132053	0.960
got	-70.10187167192981	-37.752436839891665	0.819
newly	-37.267761504142584	87.51153365107388	0.982
gov	-19.27889373287625	-31.7103546815199	0.979
gop	17.65158503339739	-74.10611080455418	0.907
independence	75.67280023698622	66.26445754005817	0.948
hillaryclinton	-51.62614605399495	-42.447949404320454	0.967
turning	-10.727106937325754	3.0148993916497555	0.952
trumpadvice	87.25028358020285	-35.45084399916102	0.918
veto	73.17265489248602	-15.951069259330499	0.849
little	-47.32548547913702	-64.53706942829945	0.953
free	-46.10604837581367	-84.64072936043281	0.950
standard	-13.059853931751741	-8.07331066860783	0.967
admits	11.034462093800283	66.47741363206076	0.970
masterpiece	17.95270627064791	-26.20103229400109	0.990
tirade	73.36594970005953	24.151408473889852	0.969
sheet	81.74345499021403	2.48011974174391	0.962
wanted	-57.87873912245344	-25.547659530440484	0.922
exposing	-5.252972779015237	92.39685988056047	0.983
created	-9.032297500022878	-24.327970181627986	0.951
pence	-16.55439318208816	-50.71282511804437	0.982
renew	14.022151610792838	54.939033189746	0.972
oppose	14.305668232734545	82.88869437899224	0.964
isn	-72.1721285287304	-38.39441804755098	0.936
signature	34.78811893446148	-85.13365680753016	0.978
uses	-32.484390500591736	11.728671185463389	0.980
loud	-69.35306374216111	-5.227608560193273	0.981
crossings	96.58659802326882	-1.6001696333876294	0.930
already	-42.29878967194438	-76.66451183770454	0.930
features	34.36815280303189	-78.47146406740481	0.992
grade	-35.724459670317536	84.66901938345374	0.965
petraeus	51.468197081061405	57.05855748449208	0.938
hearing	1.4965726813600397	-39.64708462352905	0.944
staying	24.266129666373285	-22.659159282904156	0.963
hook	80.12765481975644	56.31651530537342	0.960
saddling	61.76591811060633	0.7023677307839601	0.960
wasn	-67.4795061322053	-36.25196533680311	0.963
cher	-58.37640984214302	19.37801441960309	0.966
hood	-2.698203614539617	75.20563497141711	0.985
rated	24.391455499761356	-66.23365138995536	0.965
service	6.110351130385966	-73.39475040853404	0.961
brandiglanville	38.17972399755325	-45.277571206839625	0.981
top	38.19830482850561	-78.90467720877646	0.944
carry	-74.97420379787727	-7.035282577354434	0.965
fiction	-11.353137683683562	71.37007235867966	0.988
needed	-46.14588853038569	-84.36569824766502	0.952
rates	-4.2327709636953	-8.16269638992242	0.991
listed	86.49711453622912	13.435659409672382	0.933
tragic	-48.1455329079681	53.189784117038435	0.969
hollywood	-1.1579110423537813	-0.26803610801018674	0.984
massively	80.26081038479519	46.079826298533945	0.975
inflow	66.97347247035417	35.00883558599373	0.947
troubled	56.61027588431369	-3.8686011008605488	0.937
ceiling	-15.867191870259015	-83.72567256060682	0.962
murder	0.307551290405567	-0.9235456639837886	0.986
asset	39.36462370664515	58.872769364282014	0.968
luncheon	93.73356818905586	12.828109456873085	0.944
leaking	34.14965307149307	62.79157256583848	0.958
took	-22.903047367646813	-68.79474686261452	0.936
negotiating	-41.36298055303729	0.3762000871868984	0.964
wisdom	6.710936722921438	-30.302068634895676	0.962
somewhat	45.35857213168485	47.989987769854544	0.967
wasted	-9.647433106270508	-25.562634589698938	0.959
donaldtrump	-97.76487992030937	-26.95217162321168	0.931
target	-27.58057830942129	67.85356787445934	0.979
showed	-68.62739994635066	4.300917073171398	0.940
surrounding	63.7751431338991	-16.142056958051718	0.922
fabric	96.92983912216368	31.362952027603953	0.938
nominate	-63.51613135927807	16.669323688241363	0.964
zero	-42.033327254607244	-77.00091491395101	0.948
project	14.011685084238644	-66.04873174522712	0.976
matter	-73.07682732820902	-44.59974957568061	0.953
speaking	32.499247888377845	-52.850396841307145	0.946
spoiled	58.75948440379057	-0.7636325946757195	0.954
feeling	-52.36722414627	20.422471487640006	0.969
solely	69.70592656258762	-7.0267572335061645	0.935
bridge	0.4995292806560094	-4.577510287074099	0.989
fashion	-45.90426021384229	79.93906933106322	0.986
ran	-88.73344384455143	-14.593957570151158	0.931
boston	-13.405376345864825	-67.3180405915004	0.984
modern	10.586602453657004	0.17617034434305953	0.975
mind	-49.85471351350713	-54.22082094684752	0.894
mine	-37.42570189131874	-10.635325625568047	0.940
anybody	-65.13675129532658	-29.068668680815566	0.970
return	-83.65854119137533	-26.800755977865187	0.963
talking	-62.71869610578867	-47.095013341140884	0.887
seen	-63.95058924373051	-40.13818734342605	0.861
seem	-67.38346585128522	-25.43815839189246	0.902
trumprink	-22.223651670832222	90.82253551897803	0.969
seek	-28.13860711273483	17.43276494926415	0.982
tells	-73.00499847814034	5.36260983276018	0.950
dozen	25.83477396139514	82.366816039582	0.980
forced	-29.19621004560492	-46.65762644520842	0.951
abroad	44.88534879973426	66.0941226142274	0.957
strength	-29.80710820120321	-29.487584407197197	0.955
genuine	-5.8482203115031455	65.11752017340334	0.970
lumberportal	77.4178744889747	-4.763107090384117	0.975
responsible	-61.22014126673023	-16.580819926333444	0.967
situated	-4.2785994303317425	92.27625204026455	0.991
causing	-26.137969434714538	42.86451860439267	0.980
doors	10.19682286420408	60.508311097417064	0.964
reversed	74.0973502848604	10.22669955494222	0.937
blue	37.877433758811335	-79.69720966645414	0.993
exactly	-63.452219802619204	-22.095037841638344	0.960
optimistic	72.17857350634719	-4.33033954174539	0.959
thrilled	-13.706022230761658	22.878525556858058	0.954
panel	-47.127513214992376	79.67786021895968	0.977
kelly	-19.47032897264338	-51.655909584320234	0.981
letter	-10.929041572361802	-55.4047601530615	0.975
phase	83.42114810003805	15.921395588241007	0.938
oil	-28.654839726814537	-94.98849866046118	0.959
marie	62.020836308671996	52.168081180377044	0.986
grave	76.12811481854449	46.02924299023283	0.957
reimbursement	51.16662987717986	58.46133897551156	0.972
episode	42.45147477087199	-63.49976260281713	0.960
doc	70.54779437347621	53.064876614896264	0.985
calculated	76.2019035092452	22.593944492965928	0.972
camp	22.120351029036307	-18.83066284743725	0.987
flow	77.77936264370629	27.462464771648467	0.949
stating	79.08348662663983	-2.5695449976333804	0.940
reputation	-16.43966725070394	51.00264496960754	0.974
principle	102.06344324808992	1.2736319563681693	0.893
thunder	18.45211845531413	66.90159685413606	0.973
voting	-87.07607331766062	-16.2723607761016	0.907
consumer	1.2781951790604742	-29.633474563360465	0.988
chrischristie	25.24594472677038	36.095239570418286	0.986
came	12.844635630136251	-67.52815908622026	0.902
saying	-72.21112912307407	-50.74476283968671	0.902
sanctuary	-16.883524936284918	-20.651992227737903	0.984
bomb	-32.67341543493744	25.14817601707976	0.981
inspire	-73.06515105215746	1.2909501767814766	0.950
departing	-7.152086588942815	17.6486389161694	0.980
disciplined	47.3582477042737	24.038410413231514	0.956
checks	-22.95609939320259	33.08339453495202	0.978
retire	26.35508190082008	59.03728183449609	0.977
ending	-37.38436516973729	-6.08954480013228	0.974
prescription	96.27139966399227	-0.9080094911957637	0.944
qaeda	-40.89865205925986	64.21413551261286	0.971
radio	35.764235304923176	-44.69899590728963	0.976
solutions	-23.388788550010485	-5.224541736114657	0.986
